ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1711930071.95901,CQ5GMu1uZy7nCxoR5f,10.30.222.137,49828,192.229.221.95,80,tcp,http,8.926093,254,1215,SF,T,F,0,ShADadfF,8,610,5,1427,-,6
1711930581.80473,C7cv7y44dfpocLFL5d,10.30.222.137,33862,104.26.12.102,8880,tcp,http,0.319897,805,898,S1,T,F,0,ShADad,5,1073,4,1114,-,6
1711930582.15665,CGWytD1caGoJ0KOtZ8,10.30.222.137,49214,3.135.92.153,9711,tcp,http,300.516832,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711931703.02124,CCLOtN8ymNkjERbD6,10.30.222.137,53790,34.104.35.123,80,tcp,http,4.815165,483,2747,SF,T,F,0,ShADTadfF,7,1338,6,3067,-,6
1711931889.97182,Cyvndr1G4xAnhBwAh1,10.30.222.137,59731,41.175.223.32,80,tcp,http,2.837519,111,168,SF,T,F,0,ShADTadfF,7,625,5,380,-,6
1711932025.68649,CueMmP3ehJA9tKGY03,10.30.222.137,57822,103.235.46.40,80,tcp,http,7.188845,158,1248,S3,T,F,0,ShADTadf,8,898,5,1516,-,6
1711933032.34926,CWkTcKHhajEQZUEYg,10.30.222.137,34714,103.82.219.45,80,tcp,http,2.171178,696,618,S3,T,F,0,ShADadf,5,964,4,834,-,6
1711933045.66182,CaOxFl4Q7ZaxgQXGI7,10.30.222.137,46444,23.237.60.122,80,tcp,http,10.410542,675,5322,S3,T,F,0,ShADTadf,14,4119,9,5806,-,6
1711944145.91224,CfECEt1RvmVpjN1l3b,10.30.222.137,42852,23.237.196.51,80,tcp,http,6.086988,431,683,SF,T,F,0,ShADTadfFr,9,1549,6,979,-,6
1711944318.1181,Ciclg034DBLi9DsN52,10.30.222.137,44596,104.21.88.183,80,tcp,http,7.369368,314,718,SF,T,F,0,ShADadfF,5,582,5,986,-,6
1711944261.98966,CyXw5c1dRjAxH9rZMe,10.30.222.137,33192,103.82.219.84,80,tcp,http,304.057645,699,300,SF,T,F,0,ShADadfF,12,1331,5,568,-,6
1711944734.13473,C0WrJ83xSXUSUyl9l9,10.30.222.137,34706,47.251.5.25,8742,tcp,http,7.51188,210,318,SF,T,F,0,ShADTadfF,9,1106,7,698,-,6
1711944748.75976,Cwu0np4ZPKg73lJSI4,10.30.222.137,34708,47.251.5.25,8742,tcp,http,6.161608,376,279,SF,T,F,0,ShADTadfF,7,1124,6,599,-,6
1711944450.87924,Cr5UMlHBR04PxKpI2,10.30.222.137,33298,103.82.219.84,80,tcp,http,305.463568,758,300,SF,T,F,0,ShDadAfF,11,1338,5,568,-,6
1711945015.51591,C1GyND1urXfwSjXfm,10.30.222.137,33810,103.235.46.40,80,tcp,http,6.581324,158,1248,S3,T,F,0,ShADadf,6,478,5,1516,-,6
1711945032.12777,CC6JpxvoxGdJPAypb,10.30.222.137,46544,172.67.72.231,8880,tcp,http,0.323236,805,892,S1,T,F,0,ShADad,5,1073,4,1108,-,6
1711945032.42013,CNnHOi1hBEJ3ov3c57,10.30.222.137,53804,3.135.92.153,9711,tcp,http,300.56592,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711946168.90666,CD3xFw3CZEbYgrYFDb,10.30.222.137,34688,8.219.89.234,80,tcp,http,16.611154,1658,6378,SF,T,F,0,ShADTadfF,21,8978,13,7078,-,6
1711947559.31099,C5DIkK2ceREYbMyM7e,10.30.222.137,39674,34.160.24.27,80,tcp,http,4.770808,171,977,SF,T,F,0,ShADadfF,7,559,5,1245,-,6
1711947589.96748,CEu5D84D3waEXRBn24,10.30.222.137,60550,52.74.220.248,80,tcp,http,4.667741,4371,151,SF,T,F,0,^hADaTdfFr,9,6287,8,551,-,6
1711947591.02229,C7UNPP3QDuouqMn7y5,10.30.222.137,60566,52.74.220.248,80,tcp,http,3.62714,3700,151,SF,T,F,0,ShADadfFrT,10,4236,8,539,-,6
1711947614.16056,CHjNQD4uK9SUrrTEq9,10.30.222.137,54600,52.85.24.89,80,tcp,http,8.762974,1042,4830,RSTO,T,F,0,ShADadR,10,1538,6,5150,-,6
1711948099.68572,CBaNTs3TdYgXS5Dqbc,10.30.222.137,38894,34.111.210.247,80,tcp,http,5.688571,423,5260,SF,T,F,0,ShADadfrF,11,1003,10,5764,-,6
1711948110.42999,CtvxAD4JEKWj8Sac9b,10.30.222.137,38912,34.111.210.247,80,tcp,http,13.14528,398,67261,RSTR,T,F,0,ShADTadfr,59,4477,54,70081,-,6
1711948123.79087,CAwfPd3krtoWIdIiU1,10.30.222.137,38938,34.111.210.247,80,tcp,http,9.635184,398,2369,SF,T,F,0,ShADadfrF,12,1054,8,2769,-,6
1711948133.7587,CGecSAU9ycn6Icwc9,10.30.222.137,38964,34.111.210.247,80,tcp,http,3.681839,398,33838,SF,T,F,0,ShADadfFr,34,2190,31,35434,-,6
1711947853.76745,Ck35Qz38siCRojEpZa,10.30.222.137,51028,23.237.60.122,80,tcp,http,304.660443,685,5306,SF,T,F,0,ShADadfF,15,1473,8,5730,-,6
1711948166.99033,CGzGYKpXQyOu9fQT9,10.30.222.137,44018,23.237.196.51,80,tcp,http,6.040493,214,654,SF,T,F,0,ShADadfF,7,586,6,974,-,6
1711948027.08223,CnXgwJaFgq8KoUkM3,10.30.222.137,35214,8.219.89.234,80,tcp,http,306.817065,953,290,SF,T,F,0,ShADTadfF,15,4600,5,558,-,6
1711948334.17182,Cu8pFw26g53XVVBVD7,10.30.222.137,35644,47.251.5.25,8742,tcp,http,8.682528,210,318,SF,T,F,0,ShADafFt,9,706,4,852,-,6
1711948129.66017,CcMu1ZgsIF5QZvvUi,10.30.222.137,32814,52.74.220.248,80,tcp,http,306.834536,1850,151,SF,T,F,0,ShADadfF,12,2482,5,419,-,6
1711948172.0024,CnJ6xF4GoNhYPyBQob,10.30.222.137,38120,13.251.242.209,80,tcp,http,315.965435,2011,14695,SF,T,F,0,ShADTadfF,33,11326,20,15759,-,6
1711948194.99076,ClW3JZ22VEVvna8fgf,10.30.222.137,49492,104.26.13.102,8880,tcp,http,0.32909,523,1186,S1,T,F,0,ShADad,5,791,4,1402,-,6
1711948519.29737,CPOxCz1ZyUGJV6fkYh,10.30.222.137,35710,47.251.5.25,8742,tcp,http,7.32254,493,281,SF,T,F,0,ShADadfF,8,933,6,601,-,6
1711948519.40471,CeamuJ1dMbKReM32ig,10.30.222.137,35714,47.251.5.25,8742,tcp,http,9.490697,210,318,SF,T,F,0,ShADTadfF,9,912,6,638,-,6
1711948528.91903,CbxL6W2tYU25VCPJm7,10.30.222.137,35718,47.251.5.25,8742,tcp,http,9.429133,376,279,SF,T,F,0,ShADTadfF,11,1724,7,659,-,6
1711948345.04325,C054d73h3aWjWX4y8g,10.30.222.137,55440,54.254.61.140,80,tcp,http,308.653225,10105,93,SF,T,F,0,ShADadfF,20,11169,11,673,-,6
1711948574.93877,CKZDRa20dkxPdtMulc,10.30.222.137,40416,104.26.6.35,2082,tcp,http,1.010306,3001,3433,S1,T,F,0,ShADad,10,3529,10,3961,-,6
1711948597.84966,CR54aZ1Atx28bpsOf4,10.30.222.137,54346,103.82.219.81,80,tcp,http,305.133063,615,296,SF,T,F,0,ShADadfF,13,1307,5,564,-,6
1711948632.64815,CqhVYy15GAmZwt5hH7,10.30.222.137,49680,104.26.13.102,8880,tcp,http,0.358926,805,891,S1,T,F,0,ShADad,5,1073,4,1107,-,6
1711948633.54283,CQqPdR1IFYfZJDyjhf,10.30.222.137,42368,3.20.78.86,9711,tcp,http,300.586917,955,407,SF,T,F,0,ShADdfF,10,1483,4,623,-,6
1711948647.79475,CPlkou2ZiR2OZsLQ5e,10.30.222.137,46280,23.237.196.50,80,tcp,http,303.011686,621,520,SF,T,F,0,ShADadfF,12,1253,5,788,-,6
1711948694.46183,C1quzr4W1V3a2ybtWa,10.30.222.137,51374,23.237.60.122,80,tcp,http,308.737076,681,5319,SF,T,F,0,ShADTadfF,20,4461,9,5803,-,6
1711949305.34709,C32jBW3NFfmOMBMae,10.30.222.137,44444,23.237.196.51,80,tcp,http,13.164637,431,574,SF,T,F,0,ShADadfFr,7,803,5,830,-,6
1711950484.75189,CphxIwfylQxEK4EV4,10.30.222.137,44528,124.71.164.124,80,tcp,http,6.517091,415,334,SF,T,F,0,ShADadfF,7,803,5,602,-,6
1711950219.53075,CKqolZ25YBX9J3q36,10.30.222.137,55002,103.82.219.81,80,tcp,http,306.012393,615,296,SF,T,F,0,ShADTadfF,17,3967,6,624,-,6
1711950314.03299,CvfzdV30GDZbDQ97xb,10.30.222.137,59158,149.28.83.53,12371,tcp,http,300.897434,172,178,SF,T,F,0,ShADadFf,25,1192,23,1110,-,6
1711950314.03278,COJv1U2Pi6TTQ4vSTf,10.30.222.137,50490,156.236.118.52,12371,tcp,http,300.900836,174,178,SF,T,F,0,ShADadFf,25,1482,23,1382,-,6
1711950451.76837,C64NXw41Jkn7p1PCJl,10.30.222.137,49126,14.22.7.140,80,tcp,http,305.921674,1014,291,SF,T,F,0,ShADadfF,12,1646,5,559,-,6
1711952119.47904,Czjynu2ynSWsTa97V6,10.30.222.137,36960,47.251.5.25,8742,tcp,http,21.161821,210,318,SF,T,F,0,ShADTaFfR,15,1624,5,602,-,6
1711952233.18059,C8DDLsiYlrG57cPOa,10.30.222.137,50878,104.26.13.102,8880,tcp,http,0.323577,805,896,S1,T,F,0,ShADad,5,1073,4,1112,-,6
1711952234.29206,CNSFstEL9IvyBFUE9,10.30.222.137,43564,3.20.78.86,9711,tcp,http,300.591779,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711952992.28638,C3DsEXVXpQF41sB41,10.30.222.137,40588,49.0.204.157,80,tcp,http,3.142344,8311,254,S3,T,F,0,ShADadf,12,8943,11,834,-,6
1711953295.05918,CEhDQSU0OxPPK0x6,10.30.222.137,59990,13.229.172.226,80,tcp,http,6.844552,2241,93,S3,T,F,0,ShADTadf,11,7958,6,421,-,6
1711953926.4765,CLAxhXGditfkcQLv7,10.30.222.137,37438,47.251.5.25,8742,tcp,http,6.840659,210,318,SF,T,F,0,ShADafFt,8,646,4,852,-,6
1711953948.38428,CcMDbT1GolwBd73p68,10.30.222.137,37466,47.251.5.25,8742,tcp,http,5.522917,376,279,SF,T,F,0,ShADTadfF,7,1124,6,599,-,6
1711953970.79424,CW5OCc2wXXkiIkI9La,10.30.222.137,37164,8.219.89.234,80,tcp,http,304.656741,873,290,SF,T,F,0,ShADadfF,14,1625,5,558,-,6
1711955275.73681,CqZHAh3zAg1FiM1lLg,10.30.222.137,36878,103.235.46.40,80,tcp,http,5.514491,158,1248,S3,T,F,0,ShADadf,5,426,4,1464,-,6
1711955719.502,CMUU5fyEHKStMURa4,10.30.222.137,37950,47.251.5.25,8742,tcp,http,6.935937,210,318,SF,T,F,0,ShADTadfF,7,792,6,638,-,6
1711955733.48457,CL2xPU1LHgTbjVSxW8,10.30.222.137,37952,47.251.5.25,8742,tcp,http,4.471013,376,279,SF,T,F,0,ShADadfF,6,696,6,599,-,6
1711955790.70782,CEPk86ggHeoWJlM3c,10.30.222.137,37616,8.219.89.234,80,tcp,http,10.484303,1658,6378,SF,T,F,0,ShADaTdfF,13,3790,11,6970,-,6
1711955833.6916,CbOJMS36D22Hddquj4,10.30.222.137,41660,104.26.12.102,8880,tcp,http,0.316646,805,903,S1,T,F,0,ShADad,5,1073,4,1119,-,6
1711955924.93906,CcFOqq4uGTK6YH02Ii,10.30.222.137,44580,3.20.78.86,9711,tcp,http,300.613323,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711957519.51016,Cmd4vF4QBxKNOgnmLa,10.30.222.137,38410,47.251.5.25,8742,tcp,http,5.815789,210,318,SF,T,F,0,ShADadfF,6,530,6,638,-,6
1711957525.36889,Cl7RuC3Oxwj3BgwXQ8,10.30.222.137,38414,47.251.5.25,8742,tcp,http,5.34644,376,279,SF,T,F,0,ShADTadfF,9,1604,7,659,-,6
1711957654.19048,C3Zcn5HUpzkOpuYAh,10.30.222.137,48608,183.240.99.202,80,tcp,http,5.367379,158,1248,S3,T,F,0,ShADadf,7,538,5,1516,-,6
1711958090.26062,COEMYc1HpwjnaQUGI3,10.30.222.137,38642,47.251.5.25,8742,tcp,http,4.302454,493,281,SF,T,F,0,ShADadfF,12,1161,8,705,-,6
1711958090.37128,CA7a903PAqsKUEwqfj,10.30.222.137,38646,47.251.5.25,8742,tcp,http,5.222243,210,318,SF,T,F,0,ShADadfF,6,530,6,638,-,6
1711958105.38105,C5yH0AY7L6XGkQXV8,10.30.222.137,38644,47.251.5.25,8742,tcp,http,3.625495,208,363,SF,T,F,0,ShADadfF,6,528,6,683,-,6
1711958085.60991,CU2slE32Qe5UGZ1r9,10.30.222.137,43286,104.26.6.35,2082,tcp,http,1.04795,3001,3437,S1,T,F,0,ShADadt,11,3605,10,3965,-,6
1711958170.93508,Czr8Zj3rm5pd1K1Ecd,10.30.222.137,51620,183.240.99.24,80,tcp,http,6.559555,158,1248,S3,T,F,0,ShADTadf,11,1370,6,1576,-,6
1711959445.87778,CHsoMS2Vt1jLxRb25i,10.30.222.137,38672,8.219.89.234,80,tcp,http,303.142058,889,290,SF,T,F,0,ShADadfF,12,1521,5,558,-,6
1711959452.87304,CoX5L79v0d5WZ4Sr7,10.30.222.137,42694,104.26.12.102,8880,tcp,http,300.352792,805,894,SF,T,F,0,ShADadtFf,8,1241,6,1219,-,6
1711959525.70988,CpWAi6Ian9ufvjrd,10.30.222.137,45604,3.20.78.86,9711,tcp,http,300.636131,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711959905.41552,CUbFyG14o6kUOC6gMd,10.30.222.137,39124,47.251.5.25,8742,tcp,http,4.931583,210,318,SF,T,F,0,ShADadfF,6,530,6,638,-,6
1711959910.37461,C91oq21eeZhRll2r81,10.30.222.137,39130,47.251.5.25,8742,tcp,http,5.076957,376,279,SF,T,F,0,ShADafFt,8,812,4,774,-,6
1711960905.51746,CJj3SB2lLgkSgLRczj,10.30.222.137,43204,103.82.219.45,80,tcp,http,305.059782,700,618,SF,T,F,0,ShDTadAfF,12,2040,5,886,-,6
1711960940.54617,CsIrub63Q5POplzl8,10.30.222.137,49866,23.237.196.50,80,tcp,http,306.2786,619,520,SF,T,F,0,ShADadfF,13,1311,5,788,-,6
1711961002.11204,CRHHRE8KLh8Aia50l,10.30.222.137,54958,23.237.60.122,80,tcp,http,307.282458,683,5386,SF,T,F,0,ShADTadfF,18,3684,8,5810,-,6
1711961370.58563,CnUgCP29HU0jV6Z4xh,10.30.222.137,39548,47.251.5.25,8742,tcp,http,4.245455,208,363,SF,T,F,0,ShADTadfF,7,788,6,683,-,6
1711961371.62204,CZnl122z7HA7ydrEyd,10.30.222.137,39550,47.251.5.25,8742,tcp,http,6.345513,210,318,SF,T,F,0,ShADTadfF,9,1106,7,698,-,6
1711961377.5179,CUSxEx4Svaj4TF77r6,10.30.222.137,39546,47.251.5.25,8742,tcp,http,5.273538,493,281,SF,T,F,0,ShADTadfF,7,1358,6,601,-,6
1711961378.01006,CE8cCS2V9IYJvJZrTh,10.30.222.137,39556,47.251.5.25,8742,tcp,http,7.516141,376,279,SF,T,F,0,ShADTadfF,12,2136,6,615,-,6
1711961367.037,CvdPsw1ec36FOjVVJd,10.30.222.137,44212,104.26.6.35,2082,tcp,http,0.971351,3001,3425,S1,T,F,0,ShADad,10,3529,10,3953,-,6
1711961490.55073,Cpv55Z1HzsM5KPxZTh,10.30.222.137,43480,103.82.219.45,80,tcp,http,213.398775,702,618,SF,T,F,0,ShADTadfF,16,4350,5,894,-,6
1711961490.55078,C2kNBQ2LkxmSyw5BYh,10.30.222.137,50124,23.237.196.50,80,tcp,http,213.398814,617,520,SF,T,F,0,ShADTadfF,16,3925,5,796,-,6
1711961706.2364,Cn6lSo2rmu1wkRpOie,10.30.222.137,53342,172.67.68.161,2086,tcp,http,0.622389,849,739,S1,T,F,0,ShADad,5,1117,4,955,-,6
1711962251.20205,CR6kQT2YgPS3z1geqj,10.30.222.137,38996,103.235.46.40,80,tcp,http,2.241526,158,1248,S3,T,F,0,ShADadf,6,478,5,1516,-,6
1711963177.69033,CpATVo4fcADCDU6uw7,10.30.222.137,40268,47.251.5.25,8742,tcp,http,5.158856,210,318,SF,T,F,0,ShADadfF,6,530,6,638,-,6
1711963182.8801,CzZJe6aIkweh80Urj,10.30.222.137,40272,47.251.5.25,8742,tcp,http,7.712009,376,279,SF,T,F,0,ShADTadfF,10,1296,7,659,-,6
1711963053.38553,CuwBh91SL6njEsSM85,10.30.222.137,43902,104.26.12.102,8880,tcp,http,300.747212,805,898,SF,T,F,0,ShADadFf,7,1177,5,1166,-,6
1711963126.95723,CV3u9q1SsZBFnjBmz4,10.30.222.137,46816,3.20.78.86,9711,tcp,http,300.642567,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711964580.86244,CueF2M2TfGWXdXqMYg,10.30.222.137,39636,103.235.46.40,80,tcp,http,5.093321,158,1248,S3,T,F,0,ShADTadf,7,688,5,1516,-,6
1711964970.71639,Cd1ISR2uJcOSrOof84,10.30.222.137,40694,47.251.5.25,8742,tcp,http,8.412908,210,318,SF,T,F,0,ShADTadfF,12,1472,5,594,-,6
1711964980.15109,CR02jn4c0b9hXxDTWe,10.30.222.137,40696,47.251.5.25,8742,tcp,http,4.050875,376,279,SF,T,F,0,ShADadfF,6,696,6,599,-,6
1711964986.70942,CE17Yb16IbCR4HfZw9,10.30.222.137,43142,34.160.24.27,80,tcp,http,4.791772,172,24785,SF,T,F,0,ShADTadfF,24,1772,22,25937,-,6
1711965813.81098,CQ0lu13hWvNlKKQHNd,10.30.222.137,40590,8.219.89.234,80,tcp,http,10.117337,1658,6379,SF,T,F,0,ShADadfF,13,2350,11,6959,-,6
1711966849.18203,Cb8G4GmbiQ81zHQO,10.30.222.137,43548,34.160.24.27,80,tcp,http,7.703877,192,85664,SF,T,F,0,ShADTadfF,69,4180,66,89104,-,6
1711966654.14987,CyBiB83V0LZtSvRrO1,10.30.222.137,55290,104.26.13.102,8880,tcp,http,0.336299,805,903,S1,T,F,0,ShADad,5,1073,4,1119,-,6
1711966727.76958,CQtmNjNS0GAZlUS62,10.30.222.137,48036,3.20.78.86,9711,tcp,http,300.623448,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711966770.81768,CLkD7u3VLJYJYEkuP5,10.30.222.137,41514,47.251.5.25,8742,tcp,http,95.282638,210,318,SF,T,F,0,ShADafdtF,7,630,4,534,-,6
1711966954.70074,CaVl382OqFuhOwTPGc,10.30.222.137,53498,49.0.204.153,80,tcp,http,308.693503,3900,58530,SF,T,F,0,ShADTadfF,70,9486,61,61710,-,6
1711967233.0855,CprcLk4ukQgFaauQPd,10.30.222.137,59996,52.74.217.89,80,tcp,http,308.653288,1377,93,SF,T,F,0,ShADTadfF,19,9258,7,481,-,6
1711967632.85333,CeJdmd4Lv3aag2aZSg,10.30.222.137,41752,8.219.89.234,80,tcp,http,9.287212,1658,6378,SF,T,F,0,ShADTadfF,14,4052,11,6958,-,6
1711968381.68326,CmZ5c52nA6I3dBpbCd,10.30.244.55,54388,41.175.223.8,80,tcp,http,2.79198,111,168,SF,T,F,0,ShADadfFR,8,443,5,380,-,6
1711968627.49151,CkcizQ318CZxSCpute,10.30.222.137,59222,104.26.6.35,2086,tcp,http,307.303097,3227,1484,SF,T,F,0,ShADadFf,11,3807,9,1960,-,6
1711968570.70826,CnkCH85TQfRjpAaul,10.30.222.137,42704,47.251.5.25,8742,tcp,http,72.897667,210,318,SF,T,F,0,ShADafdtF,7,630,5,904,-,6
1711969370.10664,CHenRM3foG5yFCRlM2,10.30.244.55,54635,192.229.221.95,80,tcp,http,6.34338,200,17216,RSTO,T,F,0,ShADadfR,10,612,16,17868,-,6
1711969538.72847,CXfFnx1yclnMXA5fLl,10.30.244.55,54662,93.184.221.240,80,tcp,http,3.291019,196,8192,RSTO,T,F,0,ShADadfR,8,528,9,8564,-,6
1711969809.00425,CGpz0K3FNiWW5QFK1d,10.30.222.137,55030,180.188.25.47,80,tcp,http,8.202424,662,4277,SF,T,F,0,ShADTadfF,13,3994,9,4761,-,6
1711969839.28533,C87Wnh45KdW3DRiYg1,10.30.222.137,45906,180.188.25.17,80,tcp,http,5.662208,1324,359,SF,T,F,0,ShADadfF,5,1592,5,627,-,6
1711969795.49661,CItlCT1H7Q00zzMKSk,10.30.222.137,55310,172.67.72.231,8880,tcp,http,0.379934,523,1186,S1,T,F,0,ShADad,5,791,4,1402,-,6
1711970370.76552,CfM4Ze3BTbRbriTfge,10.30.222.137,43956,47.251.5.25,8742,tcp,http,5.977956,210,318,SF,T,F,0,ShADadfF,7,590,6,638,-,6
1711970376.752,Cqu3bc4N6GI6AAlltf,10.30.222.137,43962,47.251.5.25,8742,tcp,http,7.525156,376,279,SF,T,F,0,ShADadfF,8,816,6,599,-,6
1711970254.68108,CSFv472T16UZMeP4v1,10.30.222.137,55586,172.67.72.231,8880,tcp,http,0.384333,805,898,S1,T,F,0,ShADad,5,1073,4,1114,-,6
1711970328.56944,CTp1d91KbpMXw9UdQa,10.30.222.137,34708,3.135.92.153,9711,tcp,http,300.54301,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711971292.98829,CnsaDQ1VJDOGLZBzR6,10.30.222.137,44172,8.219.89.234,80,tcp,http,304.952339,1370,290,SF,T,F,0,ShADadfF,13,2062,5,558,-,6
1711971708.37257,CTcoCUVlXIvRXwHWc,10.30.244.55,54886,23.50.175.198,80,tcp,http,4.045246,213,4536,SF,T,F,0,ShADadfFR,9,585,9,4908,-,6
1711972170.74996,CHeuMq3gGQtXTWrRxe,10.30.222.137,45068,47.251.5.25,8742,tcp,http,5.440517,210,318,SF,T,F,0,ShADadfF,7,590,6,638,-,6
1711972276.97171,CT5OFR3teJFoACA1hc,10.30.244.55,54947,2.20.13.208,80,tcp,http,3.620967,82,127,SF,T,F,0,ShADTadFf,7,456,5,339,-,6
1711972967.73142,CXrwwm4np8AV9MV3Wl,10.30.244.55,55026,2.20.13.208,80,tcp,http,6.740735,82,127,SF,T,F,0,ShADadFf,7,386,5,339,-,6
1711973178.40886,CUaqb82oGcgat8M85f,10.30.244.55,55054,192.229.221.95,80,tcp,http,3.189703,278,1090,SF,T,F,0,ShADadfFR,9,662,5,1302,-,6
1711973615.29888,Cgzn7ikws2W2Lt7ga,10.30.244.55,55137,192.229.221.95,80,tcp,http,3.753918,209,1198,RSTO,T,F,0,ShADadfR,6,461,4,1370,-,6
1711973970.74882,CA2mOsqtmL0f4HmOg,10.30.222.137,46268,47.251.5.25,8742,tcp,http,6.24954,210,318,SF,T,F,0,ShADadfF,7,590,6,638,-,6
1711973986.9404,CLLcpd1q2j7tBB4VZd,10.30.222.137,45930,8.219.89.234,80,tcp,http,15.232447,1658,6378,SF,T,F,0,ShADTadfF,18,8604,12,7026,-,6
1711974002.17281,CAQ5lN3ngy56QF7dX3,10.30.222.137,45950,8.219.89.234,80,tcp,http,73.566505,713,290,SF,T,F,0,ShADadfF,13,1413,5,558,-,6
1711973855.22565,CSFgQ73WVWKkMUPRCd,10.30.222.137,57958,172.67.72.231,8880,tcp,http,0.502852,805,898,S1,T,F,0,ShADad,5,1073,4,1114,-,6
1711973985.57616,CGlSQ73PUGJLz218ql,10.30.222.137,52846,3.20.78.86,9711,tcp,http,300.562501,955,407,SF,T,F,0,ShADadfF,10,1483,5,675,-,6
1711973977.02124,CiM4dH3pRJNpZ4y0x6,10.30.222.137,46274,47.251.5.25,8742,tcp,http,30.918157,376,279,SF,T,F,0,ShADTaftFR,9,1256,6,1157,-,6
1711974514.72851,CsNV4942mWEvIlG7He,10.30.218.182,64261,152.199.19.161,80,tcp,http,4.766977,355,847,SF,T,F,0,ShADTadfF,7,1357,5,1059,-,6
1711974659.9563,CCUFM11HXPOZxAUVvk,10.30.222.137,46774,47.251.5.25,8742,tcp,http,4.638558,208,363,SF,T,F,0,ShADTadfF,8,1048,6,683,-,6
1711974659.99972,CmhqAg3tf46z1du282,10.30.222.137,46776,47.251.5.25,8742,tcp,http,9.444578,210,318,SF,T,F,0,ShADafFt,8,654,4,852,-,6
1711974669.47906,CR5nQW2sJkHwuIyZAf,10.30.222.137,46786,47.251.5.25,8742,tcp,http,5.792793,376,279,SF,T,F,0,ShADafFt,8,812,4,774,-,6
1711974655.1987,CXUP7R1ItM2ZROGND1,10.30.222.137,51436,104.26.6.35,2082,tcp,http,1.200745,3001,3438,S1,T,F,0,ShADad,11,3581,11,4018,-,6
1711974666.89134,C8cyWs2OvYJIZhqmBe,10.30.222.137,46772,47.251.5.25,8742,tcp,http,10.745161,493,281,SF,T,F,0,ShADTafFdtR,7,1370,4,497,-,6
1711975280.36957,CIBkrCMYmx21eF7pg,10.30.224.195,54205,93.184.221.240,80,tcp,http,15.134797,245,5097,RSTO,T,F,0,ShADTadfR,15,1407,11,5585,-,6
1711975336.82714,C9YLmj18nH7aYWmT01,10.30.224.195,54219,93.184.221.240,80,tcp,http,6.182477,202,5097,RSTO,T,F,0,ShADTadfR,11,880,9,5481,-,6
1711975441.64006,CVDnzW27elxXZXpN9l,10.30.244.55,55292,192.229.221.95,80,tcp,http,4.245624,142,1212,SF,T,F,0,ShADadfF,7,458,5,1424,-,6
1711975486.23985,Cm6adv2lfJs8dVnQX8,10.30.224.195,54276,2.20.13.203,80,tcp,http,4.864244,82,127,SF,T,F,0,ShADTadfF,7,456,5,339,-,6
1711975488.98211,Cda9XS1qiUgzy0KW63,10.30.244.55,55294,104.22.1.235,80,tcp,http,3.064248,556,544,SF,T,F,0,ShADadfFR,9,940,5,756,-,6
1711975683.73928,CQNGLH2Q25Aec08eTe,10.30.218.182,49373,2.20.13.196,80,tcp,http,7.806289,500,7634,SF,T,F,0,ShADTadfrFr,15,1410,15,8270,-,6
1711976200.33531,CMwid83ZI2xjtqYmEc,10.30.222.137,35144,23.237.60.122,80,tcp,http,85.793695,679,5287,SF,T,F,0,ShADTadfF,21,4511,9,5771,-,6
1711976365.17615,C6jynz4RMEKGlceGt1,10.30.222.137,47974,47.251.5.25,8742,tcp,http,3.952575,493,281,SF,T,F,0,ShADadfF,6,813,6,601,-,6
1711976364.44744,CtcrIz34KkfHzQZc82,10.30.222.137,47976,47.251.5.25,8742,tcp,http,6.832032,208,363,SF,T,F,0,ShADTafFt,9,1112,4,942,-,6
1711976339.49123,Clvk9B29MlWNFeRbWa,10.30.222.137,52614,104.26.6.35,2082,tcp,http,1.413314,3001,3439,S1,T,F,0,ShADda,10,3529,9,3915,-,6
1711976618.01548,CqzUiJrPVeizkw0H5,10.30.224.195,65501,2.20.13.203,80,tcp,http,3.872086,196,8146,RSTO,T,F,0,ShADadfR,9,568,10,8558,-,6
1711976411.67404,CtqSGM2mXLIFYWjQn4,10.30.222.137,51850,103.82.219.45,80,tcp,http,2.046447,684,454,S3,T,F,0,ShADadf,6,1004,5,722,-,6
1711976553.83074,CObWl42hPd3sUhdkWb,10.30.222.137,32868,34.104.35.123,80,tcp,http,196.106265,381,10048,SF,T,F,0,ShADTadfF,23,3109,12,10688,-,6
1711976545.35708,CRDSB34vV2LBltp34i,10.30.222.137,33866,156.236.118.52,12371,tcp,http,300.988948,174,178,SF,T,F,0,ShADadFf,25,1482,23,1382,-,6
1711976654.97097,CHbg4p1sMtI04NfeOi,10.30.222.137,60736,14.22.7.140,80,tcp,http,6.321344,1018,291,S3,T,F,0,ShADadf,7,1406,4,507,-,6
